title;author;publicationyear;isbn;europrice;stock
La Discipline des orphelins;M. Axel Roger;2018;937-0-2684-7088-0;77.26;9
This Side of Paradise;Krystina Krajcik;1984;695-6-2114-8804-2;64.12;6
Le Couloir de tous les mépris;Charles Lina;1973;522-8-2738-2834-6;07.56;8
Der Spaziergang;Jona Büchele;1957;219-5-9114-9005-0;18.78;7
Le Couloir de tous les mépris;M. Pierre Dumas;1962;358-7-0806-8947-5;49.12;2
Catharina von Georgien;Rania Dieckmann;2016;977-4-1948-4591-3;52.79;7
Le Couloir de tous les mépris;Mlle Mathilde Guerin;2004;750-4-6995-0221-8;99.59;9
The Needle's Eye;Retha Graham;1999;396-0-8884-2905-5;36.39;8
Le Couloir de tous les mépris;Mme Jade Prevost;2001;055-3-4079-9026-4;51.63;3
Emilia Galotti;Jolin Aigner;2003;255-9-8153-4681-7;82.18;1
Le Siècle de la rue voisine;Eva Le roux;1946;220-3-7815-8389-1;53.44;5
Romulus der Große;Eileen Becker;1952;697-9-0807-1185-7;91.37;9
La Promise du voyeur;Lopez Quentin;1953;790-7-1929-8720-0;96.87;1
The Skull Beneath the Skin;Myron Cummerata;2010;226-9-9714-5986-9;02.64;8
La Promise du voyeur;Pauline Meunier;2016;373-9-4390-7967-7;91.27;9
Lieutenant Gustl;Timon Lewke;2000;068-0-1825-3140-8;00.30;0
La Discipline des orphelins;Alexis Sanchez;2011;332-8-0032-8118-5;33.11;6
Katz und Maus;Ansgar Holl;2001;237-4-9120-0184-0;29.56;7
L'Odeur du sanglier;Jeanne Fontaine;1956;867-8-0384-4589-0;67.51;3
This Side of Paradise;Enid Fay I;2015;856-4-0882-3453-4;40.20;0
La Promise du voyeur;Maëlle Nguyen;2011;169-3-3183-9245-5;16.30;3
Romeo und Julia auf dem Dorfe;Eveline Lokar;2005;427-0-8647-0436-4;12.21;4
L'Odyssée invisible;Mlle Pauline Rey;1980;232-9-5096-8499-0;52.35;5
Homo faber;Damian zu Achilles;1991;625-9-8825-9034-8;96.04;1
La Peau des savants;Lisa Renaud;2013;358-4-4644-3506-3;15.30;5
The Soldier's Art;Ms. Bailey Legros;2004;903-9-2767-7771-5;99.27;5
La Soumission comme passion;Dufour Elisa;2012;758-1-4905-3408-6;58.40;8
Ganz unten;Baron Ivonne Häfner;1952;293-9-6640-0811-7;73.17;5
Le Siècle de la rue voisine;M. Kylian Charles;2012;965-6-7443-7913-6;00.94;5
Die verlorene Ehre der Katharina Blum;Hr. Salome Töpfer;2001;108-9-8203-0338-9;96.54;4
La Promise du voyeur;Mlle Mathilde Bernard;1960;025-8-3599-8360-5;75.41;5
Antic Hay;Noelia Armstrong Sr.;1971;777-4-9325-4655-6;63.42;9
La progéniture du mal;Sacha Moreau;1963;972-9-8468-3725-1;88.32;0
Die Physiker;Prof. Kristin Stöwer;2014;521-4-6191-1168-4;00.66;4
La progéniture du mal;Sacha Girard;1995;930-2-5113-6995-9;12.27;7
Das Parfum;Lilia Zschunke;1942;267-4-5011-0037-3;63.28;5
La Soumission comme passion;M. Alexis Petit;1967;696-6-2761-6758-0;05.38;3
Carrion Comfort;Kendrick Adams IV;2010;665-5-2834-4871-4;85.62;5
Le Siècle de la rue voisine;Léo Roger;2018;892-9-1946-5496-2;21.92;0
Haus ohne Hüter;Baronin Mandy Gastel;2006;127-4-0122-9151-3;04.30;1
Pourquoi je mens ?;Mattéo Laurent;1965;118-3-2191-3389-9;91.00;5
Der Schimmelreiter;Lavinia Zanner;2000;055-4-8303-9638-6;59.69;6
La Soumission comme passion;Mlle Valentin Charpentier;2019;018-3-9605-9808-2;46.38;0
Tender Is the Night;Keanu Fadel;2001;233-5-3014-4968-5;13.11;2
La Promise du voyeur;Mélissa Andre;2010;171-5-4847-0787-6;67.01;8
Ansichten Eines Clowns;Anabel Urbaniak;2003;346-7-4791-7204-9;53.81;8
La progéniture du mal;Zoe Guillot;1976;845-4-1646-7913-5;56.91;6
Dantons Tod;Kilian Greger;2013;019-5-5212-7252-0;06.37;4
La Soumission comme passion;M. Sacha Schmitt;2002;342-0-2880-3434-0;28.38;2
A Farewell to Arms;Jannie Adams;1998;758-3-4983-8339-9;49.74;7
L'Odeur du sanglier;Thomas Baron;2018;797-8-1390-3566-1;71.61;9
Winnetou II;Jonah vom Sander;1962;518-9-1175-3038-1;73.93;3
L'Odeur du sanglier;M. Juliette Gaillard;1952;562-1-7829-4390-5;41.46;9
Die Leiden des jungen Werther;Abdul von der Friedmann;1997;589-7-7005-9169-2;29.67;6
Le Désir des femmes fortes;Aubry Laura;1968;767-4-1042-3623-4;85.89;9
Consider Phlebas;Kendra Kuhic;2003;872-9-9422-4003-7;77.40;4
Le Désir des femmes fortes;Lefebvre Jules;1967;774-1-2566-1176-4;15.44;4
Der veruntreute Himmel;Tyron Caspari;2018;827-0-6680-9985-0;62.58;4
Le Désir des femmes fortes;Lucie Renault;2012;903-3-0032-2616-0;71.62;1
Dantons Tod;Graf Ferdinand Weber;1943;968-9-0731-3207-5;62.85;4
Le Couloir de tous les mépris;Perrin Alexandre;2017;166-7-9001-2671-4;24.20;4
East of Eden;Dandre Lowe Jr.;1997;290-8-5131-1913-7;92.29;4
Le Désir des femmes fortes;Brun Adam;2013;979-9-1831-1162-1;85.41;2
Cleopatra;Luzie Habel;1991;791-6-4725-3887-9;86.55;5
Le Siècle de la rue voisine;Hugo Charpentier;2014;349-5-0460-1874-8;91.91;0
Siddhartha;Joseph Stube;2009;260-4-6498-0809-2;29.76;0
Le Couloir de tous les mépris;Clément Paul;1989;155-8-8584-6636-5;63.54;6
Tiger! Tiger!;Mr. Margaretta Abshire;2002;650-8-5067-7971-2;99.48;4
La Peau des savants;Blanc Alice;1962;394-9-9587-4896-9;07.48;0
Des Teufels General;Maxima Harms;1966;954-2-7814-7462-8;12.60;0
La Discipline des orphelins;Dr Mathilde Garnier;1984;150-3-9613-8622-6;93.02;6
Italienische Reise;Gino von Hering;1971;902-8-5783-9862-0;24.62;5
La Discipline des orphelins;Nicolas Gaillard;2019;026-8-8167-6376-6;25.80;7
The Grapes of Wrath;Ophelia Farrell;1945;766-9-2634-7350-1;13.57;9
Le Couloir de tous les mépris;Manon Rodriguez;2009;777-7-7844-8289-7;36.91;3
Die Box;Freiherr Tuana von Kobs;2018;786-5-0770-3713-8;93.12;2
L'Odyssée invisible;M. Maëlle Roux;1997;928-0-4943-9221-3;32.42;9
Der Stellvertreter;Gräfin Karina von Eich;1984;140-4-7166-8190-6;79.22;2
Le Désir des femmes fortes;Sanchez Alexis;1981;833-2-3564-5643-1;60.19;5
Absalom, Absalom!;Kaleb Ziemann;1952;510-4-9913-9920-6;62.23;1
La progéniture du mal;Dr Mélissa Arnaud;1957;307-9-3738-0432-0;05.12;1
Der geteilte Himmel;Dipl.-Ing. Kaja Plauk;1959;533-6-5195-8475-6;22.18;1
La Promise du voyeur;Lola Pierre;2009;439-9-9806-5551-2;97.59;1
Miss Sara Sampson;Freiherrin Oliver Christ;2000;475-2-2036-9681-1;02.43;6
La progéniture du mal;Clémence Mercier;1962;667-8-8035-5563-4;20.69;5
To Your Scattered Bodies Go;Lindsay Marks;2012;474-6-4705-4429-9;46.27;5
Le Couloir de tous les mépris;M. Maëlle Marchal;2006;794-1-7348-4317-1;30.52;7
Stolz und Vorurteil;Joelina Franzis;1983;853-6-9305-1053-5;72.23;4
La progéniture du mal;Prof Jules Morel;2001;852-7-4979-2214-4;93.48;6
Haus ohne Hüter;Baron Tiago zu Huth;2000;050-1-2585-2679-0;42.88;7
La Promise du voyeur;Bertrand Théo;1992;653-2-1332-2432-4;81.30;4
The Green Bay Tree;Ms. Brendon Hickle;2011;939-2-8411-2488-0;92.08;7
La Peau des savants;Adam Aubry;1946;706-1-1068-7398-4;79.04;4
Des Teufels General;Freiherrin Josie Madubuko;1959;796-2-3179-3873-1;85.44;0
La Peau des savants;Mlle Mathéo Gonzalez;2007;205-7-9919-5810-9;59.10;8
Der arme Spielmann;Niclas Kohle;2018;041-5-0581-8466-6;36.39;9
Le Couloir de tous les mépris;Ines Roger;1972;845-6-9687-5623-2;24.86;0
Mother Night;Liana Schmitt;1950;017-2-1442-0516-3;01.43;0
La Promise du voyeur;Prof Noah Bernard;2016;395-9-1707-0754-1;23.01;8
Winnetou;Dipl.-Ing. Len Bruns;2007;553-3-9189-4178-6;89.73;7
L'Odeur du sanglier;Antoine Nicolas;1957;840-9-5053-6510-2;10.99;5
Wer einmal aus dem Blechnapf frisst;Aaliyah zu Röse;2014;212-7-1197-7442-4;62.89;5
La Discipline des orphelins;Hugo Roux;2011;255-3-8367-0698-7;27.66;1
A Summer Bird-Cage;Mr. Rory Trantow;1996;411-2-3054-8478-0;04.01;1
Le Siècle de la rue voisine;Dr Jules Maillard;1979;124-3-4111-2530-0;27.93;2
Frühlings Erwachen;Elif von Raabe;1950;558-5-0058-5983-3;27.25;0
La Peau des savants;Chevalier Gabriel;1985;245-8-3688-8352-2;52.10;6
Traumnovelle/Die Braut;Jonah Bartels;1952;109-8-2738-7284-9;96.42;5
La Peau des savants;Dr Laura Martin;1962;602-7-2150-7065-5;54.24;2
Beneath the Bleeding;Eryn Jacobson;2004;072-8-7031-5749-7;44.59;4
Pourquoi je mens ?;Mlle Rayan Julien;2002;609-7-9636-4117-4;14.26;9
Die Waffen nieder!;Baronin Eliana Menne;1948;240-8-8883-1741-9;17.26;9
Le Désir des femmes fortes;Mme Clémence Lucas;2013;082-2-1628-0554-3;13.55;0
Haus ohne Hüter;Lotta Bunjes;2010;611-3-7354-7057-2;46.75;3
L'Odeur du sanglier;Pierre Dufour;1962;802-9-0830-2233-8;81.06;7
Mr Standfast;Francesca Hand;2010;021-9-8473-8740-6;05.02;7
Pourquoi je mens ?;Colin Ines;1941;910-9-9726-0777-0;08.91;2
Die Räuber;Emil Ponitzsch;1957;603-0-9801-2885-1;41.11;2
Le Désir des femmes fortes;Brunet Lena;2000;324-7-5702-5139-5;79.24;9
Der Ausflug der toten Mädchen;Summer Umminger;1983;287-6-8228-4642-9;38.71;9
La Promise du voyeur;Eva Breton;2018;744-5-7349-2716-4;57.16;5
If I Forget Thee Jerusalem;Alysa O'Connell;1998;340-5-3103-8627-1;19.86;5
Le Désir des femmes fortes;Philippe Sarah;1945;586-5-5960-9390-4;24.59;6
Woyzeck;Freiherrin Morten von der Kofferschlager;1981;040-5-4806-3288-0;83.93;8
La Peau des savants;Mme Nathan Marchal;1943;927-2-3451-7048-4;24.20;3
Die Panne;Hr. Emilie Feller;2016;597-3-0172-9630-9;43.12;1
Pourquoi je mens ?;Prof Rayan Gonzalez;2005;626-0-6086-4604-6;66.98;1
Tender Is the Night;Ms. Jana Bahringer;2015;397-7-9470-5514-4;19.22;0
Le Siècle de la rue voisine;Mme Chloé Carre;2001;250-3-0875-0811-1;52.98;5
Die Buddenbrooks;Jara Kneifel;1953;459-4-3584-5042-6;60.02;0
La Promise du voyeur;Romane Denis;2015;384-5-7371-1980-5;66.48;3
Die Waffen nieder!;Yannik von der Kubera;2012;141-2-4609-7659-9;41.15;8
La Discipline des orphelins;Charlotte Guillot;2014;818-8-5559-5472-0;66.27;8
I Sing the Body Electric;Toni Huel;2017;869-7-8227-8344-4;86.01;1
La Peau des savants;Rolland Tom;1997;722-6-5412-1444-1;34.62;0
Die Welt als Wille & Wahn;Baron Amir Börgeling;1978;006-3-0554-2638-1;15.32;6
Le Siècle de la rue voisine;Noémie Caron;2014;329-0-3776-2531-7;91.50;4
Effi Briest;Sky vom Smieja;2003;124-0-2188-1783-0;91.59;8
La Peau des savants;Mlle Chloé Maillard;1963;362-6-3638-4794-5;00.71;4
The Yellow Meads of Asphodel;Kamille Windler;1963;441-3-4663-6369-9;85.27;4
La Soumission comme passion;Prof Anaïs Moreau;2019;036-8-7329-7814-0;12.20;3
Eiche und Angora;Oscar Tschiers;2012;976-1-9448-0927-7;26.59;0
La Soumission comme passion;Remy Lucie;2009;729-5-4214-2465-3;04.83;0
Dantons Tod;Tim Koester;1944;290-4-6662-8046-6;17.28;1
L'Odyssée invisible;Dr Sarah Schneider;1992;595-4-9331-4682-6;93.45;6
What's Become of Waring;Savannah Kessler;1974;734-4-5081-3576-2;78.88;6
La Soumission comme passion;Prof Ambre Roux;2007;251-7-4675-1355-7;44.58;1
Nathan der Weise;Lily Möcks;2009;143-5-9128-2484-3;61.50;7
L'Odyssée invisible;Dr Antoine Lefevre;2002;684-9-4683-1884-7;77.77;0
Paare, Passanten;Leonora Rau;2005;303-4-4098-3291-8;09.73;2
La Promise du voyeur;M. Eva Guillot;1998;761-0-0376-4720-1;42.24;6
The Millstone;Tanner Conn III;2002;993-2-7737-3961-0;50.85;2
Le Couloir de tous les mépris;Mohamed Dupuy;1972;960-9-9072-1540-5;48.14;7
Vor Sonnenaufgang;Liana Wölpert;1946;797-9-4700-7054-3;31.80;2
Le Couloir de tous les mépris;Huet Enzo;1960;486-0-9197-3192-3;15.43;8
Die Lehre der Sainte-Victoire;Oke Hackelbusch;1946;440-1-7100-5890-7;37.53;6
Le Désir des femmes fortes;Mlle Romane Baron;2011;472-0-5993-1630-0;73.73;0
The Road Less Traveled;Xavier Daniel MD;1957;142-2-5619-2214-5;46.02;8
L'Odyssée invisible;Gerard Antoine;2012;868-5-7407-1560-1;66.47;4
Tödliche Versprechen/Das Imperium der Wölfe;Prof. Dr. Dr. Mustafa Ertl;2001;158-1-1489-0127-5;94.68;4
Pourquoi je mens ?;Mlle Emilie Arnaud;2003;191-4-6318-6914-1;30.88;4
Woyzeck;Freiherrin Mateo Hepperle;1979;402-6-1856-5952-5;57.46;8
La Soumission comme passion;Noémie Marty;1985;215-4-8155-2641-2;72.47;7
The Curious Incident of the Dog in the Night-Time;Micaela Weissnat;1972;025-6-5847-2121-9;03.75;2
La progéniture du mal;Denis Sacha;1950;892-8-8256-1859-9;03.14;2
Lenz;Xaver Otto;1981;033-5-8339-3872-3;89.44;8
Le Désir des femmes fortes;Nicolas Simon;1989;422-1-6205-5245-8;08.91;9
Lieutenant Gustl;Martha von der Naubert;1982;839-9-9723-4796-3;80.87;4
Le Couloir de tous les mépris;Mme Zoe Prevost;2007;940-1-7198-1689-6;46.11;6
Absalom, Absalom!;Aidan Greenfelder DDS;2015;035-5-0774-6143-0;08.93;3
Le Désir des femmes fortes;Dr Baptiste Vidal;1944;229-9-4936-6661-1;77.62;2
Vor Sonnenaufgang;Fr. Tommy Schäffel;2005;151-1-4691-8181-3;00.12;2
La Discipline des orphelins;Anaïs Carpentier;2019;913-8-7477-6111-4;69.30;6
Frühlings Erwachen;Graf Odin Crosskofp;2001;186-8-5473-4508-7;13.54;3
L'Odeur du sanglier;M. Rayan Aubert;2003;119-7-1218-7627-8;93.24;7
Cover Her Face;Marcellus Hyatt Jr.;1952;042-3-9931-9424-8;53.96;6
La progéniture du mal;Louna Carre;1992;353-8-9339-2307-7;01.92;9
Der Steppenwolf;Mikail Sokolowski;1996;592-9-6583-9381-5;17.75;3
La progéniture du mal;Mme Emilie Dupont;2015;653-8-0008-5903-4;25.99;6
Der Tod in Venedig und andere Erzählungen;Selim von der Strutz;1953;987-2-7765-1158-0;28.57;3
Pourquoi je mens ?;Mlle Charlotte Bertrand;2016;450-5-4366-4938-6;74.08;2
The Skull Beneath the Skin;Travon Lowe;1987;365-7-2535-7648-5;93.16;3
La Soumission comme passion;Dr Nathan Morel;1947;491-7-6437-3026-8;55.87;0
Siddhartha;Aleyna Koj;2004;432-5-5386-8085-3;60.01;8
L'Odeur du sanglier;Noel Benjamin;1954;665-1-4820-4847-8;78.63;4
Winnetou II;Lyn Schönbeck;2013;628-3-7968-2104-7;82.88;6
Pourquoi je mens ?;Roussel Mélissa;1964;726-5-5750-8328-9;03.69;7
Noli Me Tangere;Mr. Nicole Brown;2014;535-9-7171-7448-7;16.48;7
La progéniture du mal;Nicolas Nathan;2005;648-3-0011-6605-7;57.22;9
Ende einer Dienstfahrt;Artur von Zinser;2017;009-4-0490-1438-3;62.38;9
Le Siècle de la rue voisine;Aubry Océane;2018;000-7-9266-1335-2;52.67;6
Damals war es Friedrich;Annie Hingst;2002;324-6-7085-2216-8;12.60;5
Le Désir des femmes fortes;M. Alice Gonzalez;1964;611-5-3833-4750-6;17.85;7
Jacob Have I Loved;Mrs. Ahmad Orn;1994;597-3-3901-1824-4;82.58;7
La Promise du voyeur;Paul Ambre;2000;044-3-2220-8523-8;91.40;4
Das Versprechen;Jonathan von Jahnke;2001;588-1-8322-7009-0;89.73;9
La Promise du voyeur;Célia Riviere;1996;567-0-2332-6620-5;38.34;2
Schachnovelle;Davin Raabe;2013;707-1-2550-8622-6;27.69;5
Pourquoi je mens ?;Schmitt Gabriel;1991;928-4-4221-8979-3;80.90;3
After Many a Summer Dies the Swan;Miss Arianna Runte;2001;355-7-4763-5376-1;54.15;6
Le Couloir de tous les mépris;Mathieu Adrien;1980;607-3-8333-8371-9;11.57;8
Der Sandmann;Efe Tillack;1950;381-3-4849-6507-4;38.80;1
L'Odyssée invisible;Leroux Raphaël;1979;207-0-0682-8736-2;00.52;0
Faust, Part I;Graf Jella Unterpaintner;1991;931-5-1027-8010-8;86.39;4
La Peau des savants;Lina Renaud;1941;026-7-0670-0953-3;28.40;9
Such, Such Were the Joys;Verna Conn;2016;414-6-6402-5141-2;75.46;2
Pourquoi je mens ?;Collet Ambre;1975;600-8-1449-8504-0;07.18;2
Ansichten Eines Clowns;Brian Marchewski;1995;705-3-7157-4675-6;67.31;5
Le Désir des femmes fortes;Clément Guillaume;1948;291-3-8850-0077-4;89.60;4
Atemschaukel;Freiherr Louis Kahles;1959;121-1-6928-8791-6;59.53;9
L'Odyssée invisible;Mme Maëlle Blanchard;1977;544-0-5543-7345-1;86.11;1
Wildfire at Midnight;Drake Rogahn;1979;469-4-8638-9045-5;53.87;6
La Discipline des orphelins;Ethan Joly;2012;016-3-6407-9007-1;28.86;9
Die unendliche Geschichte;Baron Nico von der Greschner;2008;647-9-5247-4004-9;37.41;8
L'Odeur du sanglier;Le roux Lena;2014;254-0-2826-0715-6;36.18;8
Also sprach Zarathustra;Freiherrin Andrea Stürmer;1956;949-3-4605-6428-5;95.18;0
La Soumission comme passion;Lefevre Raphaël;1973;085-3-5079-9624-9;03.45;3
The Sun Also Rises;Mr. Joan Douglas;1977;625-6-1131-2952-7;72.57;1
La Promise du voyeur;Mathilde Durand;2001;979-9-3214-0118-1;53.47;1
Lerne lachen ohne zu weinen;Sandy Konieczny;1955;358-8-6755-9205-0;02.14;5
Pourquoi je mens ?;Gonzalez Clément;2009;360-5-6497-7783-8;26.06;5
Der arme Spielmann;Graf Hauke zu Rüter;2012;951-2-0052-3366-2;88.48;8
La Discipline des orphelins;Mme Lena Pierre;1950;017-8-3027-9825-2;02.59;8
The Monkey's Raincoat;Mrs. Lester Heller;2002;017-8-6250-9714-9;59.67;9
La Soumission comme passion;Mme Paul Menard;2008;854-3-3983-5789-1;31.71;5
Der Untertan;Enrico Burghagen;1998;825-0-1741-7701-8;94.83;7
La Soumission comme passion;Guillot Jade;2011;594-9-6781-0800-4;61.55;9
Katz und Maus;Freiherrin Leon Werrmann;2007;915-7-8017-0610-4;44.36;0
La progéniture du mal;Dr Raphaël Paris;2006;036-6-5826-3564-8;71.88;5
Vanity Fair;Mr. Timmothy Casper;2004;069-8-1050-2824-9;01.61;9
L'Odyssée invisible;Mme Nathan Perez;2007;090-0-0006-9786-2;92.43;2
Der Hauptmann von Köpenick;Eddi vom Stolle;2000;918-6-8886-1645-4;63.35;6
Le Siècle de la rue voisine;Durand Marie;2006;829-7-4540-2950-4;04.26;9
Ein fliehendes Pferd;Katarina zu Kúhn;2011;214-0-1411-7417-6;64.97;5
La Promise du voyeur;M. Valentin Paul;2019;949-0-9408-0520-6;54.53;1
Tiger! Tiger!;Terrance Wiegand;1998;515-0-3842-0576-4;43.23;5
Le Siècle de la rue voisine;Clara Gonzalez;2008;196-6-3462-0096-2;36.80;8
Götz von Berlichingen;Dr. Cara Albert;2018;758-2-3720-5530-9;58.41;0
La progéniture du mal;Garcia Léo;2010;233-0-1822-0246-9;91.57;4
Lenz;Loris Bader;1943;957-9-0380-5198-2;36.06;6
La progéniture du mal;Julien Elisa;1955;279-0-8484-7237-7;74.18;9
Tirra Lirra by the River;Antonetta Ernser;1961;478-5-7612-1232-5;92.52;6
La Discipline des orphelins;Cousin Mélissa;2017;902-3-5168-4594-6;37.61;8
Der Verdacht;Erik zu Neumair;2015;260-1-5870-5082-0;18.50;0
Le Désir des femmes fortes;Lisa Meunier;1971;419-0-1995-3088-8;18.26;2
Andorra;Malina Voigt;2007;793-1-7262-8226-5;95.87;2
La Discipline des orphelins;Prof Zoe Bernard;2004;624-8-4274-3730-0;13.34;9
No Country for Old Men;Federico Kuvalis;2014;755-5-1820-8568-5;90.50;4
La Discipline des orphelins;Brun Océane;1997;887-7-4347-1826-4;01.78;2
Der Vorleser;Jimmy Von;2010;466-4-6526-9151-7;55.75;4
La Peau des savants;Blanc Kylian;1965;771-7-9795-8843-7;38.82;8
Die verlorene Ehre der Katharina Blum;Monique Paukner;2010;918-7-4231-6376-3;18.57;0
L'Odeur du sanglier;Prof Raphaël Lefebvre;2005;481-3-9899-3305-6;47.14;1
The Road Less Traveled;Vance Lowe Jr.;1952;450-2-6826-6228-7;84.37;2
La Soumission comme passion;Boyer Mélissa;1990;309-9-6358-1745-4;59.48;1
Jakob der Lügner;Graf Alexis Heydemüller;2011;480-5-3578-7314-4;92.20;6
La Promise du voyeur;Richard Noémie;2017;471-5-9505-5246-8;99.76;9
Also sprach Zarathustra;Bastian Dietrich;1983;429-2-4547-2531-7;29.41;1
La Promise du voyeur;M. Théo Dupuy;1996;683-9-0083-3407-1;45.51;2
Fear and Trembling;Ms. Miller Beer;2003;063-2-7474-7078-8;90.41;6
La Promise du voyeur;Lefebvre Mélissa;2014;389-8-2922-8499-8;25.80;8
Die Aufzeichnungen des Malte Laurids Brigge;Tristan Mögenburg;1953;709-2-7829-7271-3;57.72;9
L'Odeur du sanglier;Benjamin Colin;2018;647-9-9176-0404-2;43.93;7
Tauben im Gras;Ahmet Tang;1969;731-0-4551-5184-2;77.47;2
Le Désir des femmes fortes;Carre Paul;1972;908-6-2624-4161-2;11.46;9
The Daffodil Sky;Jordane Mohr;2009;411-2-6444-9412-6;53.89;4
La Peau des savants;Colin Benjamin;2006;613-3-6408-7650-5;37.81;0
Des Teufels General;Thilo Goebel;1968;326-9-5015-8070-6;23.83;1
Le Désir des femmes fortes;Quentin Vasseur;2009;707-2-9973-2155-5;97.07;8
Narziss und Goldmund;Tino Hallmann;2015;147-4-4205-4801-3;32.11;8
