title;author;publicationyear;isbn;europrice;stock
Le Siècle de la rue voisine;Louna Nicolas;2013;707-4-0042-3925-0;15.71;1
Jakob der Lügner;Graf Bianka Kurnicki;1946;097-3-0428-2030-2;47.78;8
La progéniture du mal;Mme Noa Picard;2014;836-0-4536-1267-3;37.26;1
Kabale und Liebe;Emre von Preuk;1985;708-9-5521-6201-5;48.69;5
L'Odyssée invisible;Evan Roche;1967;207-3-8895-2411-4;65.57;6
Noli Me Tangere;Giovanny Wuckert;2014;462-1-3420-4583-4;54.81;6
La Discipline des orphelins;Muller Zoe;2010;312-6-1842-6211-6;63.85;1
Das Boot;Liliana Busse;2007;399-2-3853-7672-1;77.28;7
La Discipline des orphelins;Dr Gabriel Sanchez;2010;004-1-6645-9171-1;83.73;5
Ganz unten;Valentin Orthmann;1948;015-0-9020-8964-6;71.84;5
L'Odyssée invisible;Nicolas Nicolas;2008;684-5-9501-6098-4;82.89;1
The Other Side of Silence;Garrison Ortiz;1960;363-0-7430-9087-8;33.40;9
L'Odeur du sanglier;Mme Raphaël Louis;1974;455-3-8898-2481-4;63.47;1
Winnetou II;Fr. Angela Schwalm;1950;927-3-9095-0198-5;73.76;5
Le Couloir de tous les mépris;Gabriel Aubert;2019;350-3-0532-7711-3;74.98;6
Der Richter und sein Henker;Imke Dombrowski;2017;282-4-1138-8792-5;75.57;8
L'Odyssée invisible;Mme Maëlle Dubois;2005;315-4-9216-5955-0;77.00;2
The Painted Veil;Arnulfo Schmeler;1954;591-5-8196-8715-8;64.97;9
La progéniture du mal;Anaïs Moulin;1982;430-8-9651-9558-5;04.28;7
Der Vorleser;Arda Manns;1956;897-1-0192-5783-8;98.92;7
L'Odeur du sanglier;Elisa Fournier;1985;373-7-7915-0800-2;39.08;7
Paare, Passanten;Mette Savoia;1974;877-6-9201-5447-8;21.06;9
La Discipline des orphelins;Mlle Camille Collet;2004;031-2-4972-3223-1;80.76;8
The Wives of Bath;Grover Rohan DDS;1985;581-2-1380-4989-2;28.70;7
Pourquoi je mens ?;Dr Baptiste Le gall;2017;953-5-0546-9631-2;25.82;4
Die Blechtrommel;Freiherrin Jella Zümsande;1960;100-1-6268-1678-7;30.51;3
La Promise du voyeur;Mlle Pierre Perez;1975;133-6-6417-5422-3;60.90;4
Götz von Berlichingen;Gräfin Vivian Mehlhorn;1952;143-4-6344-9614-8;18.20;7
L'Odeur du sanglier;Riviere Mohamed;2008;822-0-4014-2792-6;98.01;4
Fame Is the Spur;Erick Farrell;2007;780-7-6441-0754-6;50.31;6
Pourquoi je mens ?;Prof Victor Leclercq;1976;948-5-0702-8586-5;74.54;0
Das Schiff Esperanza;Liz Büscher;1975;435-4-9178-5530-6;23.24;8
La Promise du voyeur;Perrin Charlotte;1973;080-4-3491-4168-4;76.55;6
Der Vorleser;Jesper Heberstreit;1940;831-0-9831-1240-9;22.80;8
Le Désir des femmes fortes;Hubert Clara;2012;513-7-7290-6413-1;56.00;4
Blue Remembered Earth;Mrs. Estella Williamson;2015;240-4-2580-3600-2;92.61;3
La Discipline des orphelins;Mlle Ethan Clement;1948;405-3-9495-5176-7;54.94;8
Ganz unten;Freiherrin Ilja Schonberg;1977;653-4-2670-2166-9;81.31;6
Pourquoi je mens ?;Mercier Lucie;1975;730-6-5684-3724-1;27.23;4
Franziska Linkerhand;Karoline Naumann;2005;728-5-3030-7164-8;09.74;7
La Soumission comme passion;Fournier Victor;2017;331-0-9327-9439-6;28.36;6
The Violent Bear It Away;Curtis Russel;2007;130-5-4804-9384-1;62.64;8
La Promise du voyeur;Dr Tom Caron;2010;680-2-6285-1790-2;27.97;1
Das Marmorbild;Jakob zu Klimczak;1993;620-0-0156-2288-5;03.44;4
La Peau des savants;Gauthier Adam;2005;243-7-9905-2618-7;67.03;2
Italienische Reise;Tayler Kunz;1966;734-0-1689-8554-0;01.75;4
Le Désir des femmes fortes;Anaïs Guillaume;1972;105-2-8874-0667-2;69.04;0
The Curious Incident of the Dog in the Night-Time;Christop Russel MD;1965;707-3-2778-0248-9;54.59;2
Pourquoi je mens ?;Maëlle Garnier;2004;125-4-9557-6919-0;94.31;7
Götz von Berlichingen;Baron Vivien Fischer;1973;199-4-9649-8528-1;92.34;6
La Peau des savants;Bertrand Maëlys;1949;359-5-4206-9068-0;59.74;5
Das Schiff Esperanza;Ayleen zu Thust;1984;789-4-4059-9593-9;34.06;7
La Peau des savants;M. Baptiste Olivier;1993;790-8-3564-9568-4;83.93;9
I Sing the Body Electric;Mr. Lane Nikolaus;2001;986-9-1326-4758-8;59.79;0
Le Désir des femmes fortes;Dr Clara Colin;2002;833-3-4563-5076-5;64.90;7
Der Schimmelreiter;Elif Kurschilgen;1961;869-5-4680-8281-5;42.24;3
Le Siècle de la rue voisine;Dupuy Laura;2010;294-6-2234-4857-8;17.79;2
Die Waffen nieder!;Gräfin Nora Mensing;2011;993-2-4484-9128-3;62.30;3
Le Couloir de tous les mépris;Dumont Mélissa;1982;170-1-3732-4971-7;87.31;8
Gone with the Wind;Kaylie Walter;1961;712-3-9837-2655-0;25.54;7
Le Couloir de tous les mépris;Blanc Axel;1968;919-2-0201-3402-8;17.85;2
Romulus der Große;Alicia Schedler;2004;420-2-6179-0822-1;29.81;5
La Soumission comme passion;Rodriguez Tom;2000;490-8-1982-4634-1;98.12;0
Über das Studium der griechischen Poesie;Freiherrin Xaver vom Pöche;1949;969-0-3911-0559-7;43.94;4
La Peau des savants;Prof Noémie Guillot;1956;268-5-8347-0480-6;80.06;7
The Moving Finger;Ethyl Aufderhar;2016;708-8-7252-7043-3;96.01;2
L'Odeur du sanglier;Romane Marchand;1951;369-2-8299-1049-0;38.32;0
Stolz und Vorurteil;Ricardo Lehmann;1992;850-1-6772-0947-0;51.79;4
Le Désir des femmes fortes;Mathéo Lucas;1957;144-5-9356-1104-8;57.86;0
Der gute Mensch von Sezuan;Rosalie Trauth;2002;261-2-3703-1282-1;30.17;5
Pourquoi je mens ?;Anaïs Perrot;1992;880-7-6038-0602-8;78.15;9
The Heart Is Deceitful Above All Things;Lacy Ward;2006;426-6-4640-6675-7;94.71;6
La Promise du voyeur;M. Laura Barre;1951;591-8-6990-0276-6;56.11;9
Götz von Berlichingen;Jim Sillah;2000;501-3-4541-3048-5;65.48;3
La Peau des savants;M. Alexis Mathieu;1951;949-8-0546-8305-0;48.44;7
Sansibar oder der letzte Grund;Karina vom Wassilew;1972;882-8-9720-7041-8;85.27;2
La Peau des savants;Roche Nathan;1983;566-8-2611-5993-0;68.56;3
O Jerusalem!;Maureen Zemlak;2012;291-5-8283-0830-4;47.15;1
Le Couloir de tous les mépris;Prof Alicia Le roux;2005;682-8-1867-0490-8;02.15;6
Minna von Barnhelm;Burak von der Linke;2006;377-2-7448-2477-3;46.09;1
Le Désir des femmes fortes;Moreau Mélissa;2012;803-9-4743-3848-5;56.69;4
Der geteilte Himmel;Talia Häber;2006;483-8-2744-9142-4;02.25;6
La Soumission comme passion;M. Lina Morel;1945;609-3-5563-8057-2;13.00;1
For a Breath I Tarry;Dr. Columbus Gleason;2016;585-7-6487-3997-8;31.99;7
La Soumission comme passion;Prof Nicolas Faure;2007;740-2-0424-5123-1;83.89;0
Der Tor und der Tod;Freiherr Talea von Kirch;2007;184-7-7303-7094-7;68.77;1
La Soumission comme passion;Barre Eva;1944;605-3-9613-3476-4;46.00;2
Atemschaukel;Dipl.-Ing. Liz Abraham;2003;054-0-2447-1996-2;98.74;2
La Peau des savants;Alexis Moulin;2013;646-4-2225-8023-4;94.76;2
Tender Is the Night;Zachary Berge;1976;307-7-1237-2326-2;22.32;6
La progéniture du mal;Mlle Sacha Aubry;1987;193-6-2585-7271-4;11.99;2
Der Verdacht;Madlen Kemper;2006;575-9-5405-4707-2;39.30;4
La Soumission comme passion;Laura Dupuy;1943;335-8-2601-3806-2;66.40;6
Das Schiff Esperanza;Gräfin Ela von der Wollenberg;1976;732-6-9364-3314-8;66.82;4
La Soumission comme passion;Prof Noa Jean;2014;846-5-9475-3899-1;78.30;6
Little Hands Clapping;Santiago Pacocha;2002;592-3-3257-6827-3;37.16;9
La Discipline des orphelins;Pauline Colin;1958;463-1-1838-7329-1;03.94;2
Leben des Galilei;Adelina zu Lufft;2005;738-0-1474-4110-0;06.83;9
Le Désir des femmes fortes;Ines Brunet;1986;269-7-3874-7381-1;58.28;9
Ansichten Eines Clowns;Luiz Cornelsen;1977;061-4-9440-1168-9;73.52;2
Le Désir des femmes fortes;Lou Lefebvre;1980;295-9-8047-1476-0;44.05;7
The Last Enemy;Sonya Rohan;2006;524-2-8540-0416-7;85.21;0
Pourquoi je mens ?;Prof Alice Julien;2015;174-5-4367-1004-1;59.78;4
Ganz unten;Gräfin Leander Jungbluth;1998;472-3-3807-2286-6;99.04;1
Le Désir des femmes fortes;Antoine Berger;2018;552-5-9598-6869-8;51.96;5
Maria Stuart;Freiherr Ahmed Grüner;2012;798-4-0861-7757-8;33.52;9
Pourquoi je mens ?;Hugo Lucas;2014;422-4-1449-0413-3;37.22;1
If Not Now, When?;Haylee Pagac;1981;343-7-2061-4715-0;39.48;8
La progéniture du mal;Léo Guerin;1991;169-4-7654-8276-3;61.93;3
Die Räuber;Tamino Wolff;2019;996-8-8762-1631-3;55.49;6
L'Odeur du sanglier;Raphaël Garcia;2018;144-6-0101-5391-6;92.73;5
Hyperion oder der Eremit in Griechenland;Till von der Kuske;2008;761-2-6932-6446-4;19.96;5
La Peau des savants;Dr Lucie Roche;1993;406-0-9998-3092-6;94.76;7
Absalom, Absalom!;Marietta Sawayn;1995;108-4-7654-6675-0;73.44;4
Le Désir des femmes fortes;Lucie Richard;1956;710-2-0775-5330-0;21.47;4
Sansibar oder der letzte Grund;Jenna Klein;1946;987-0-9999-3689-6;28.24;9
Le Couloir de tous les mépris;Renaud Tom;1972;833-5-6830-3661-2;79.58;6
Jahrestage;Dr. Nina Hiebl;1986;294-5-9721-5292-8;50.41;0
La Discipline des orphelins;Prof Laura Adam;1974;609-7-8375-9058-8;33.50;3
Of Mice and Men;Arch Boehm;1962;428-2-3958-5118-8;48.42;8
Le Désir des femmes fortes;Sarah Meyer;2005;931-2-6861-8812-2;42.18;3
Die Waffen nieder!;Monique vom Kick;2017;513-8-3178-3490-6;99.21;6
Pourquoi je mens ?;Mme Océane Meyer;2017;160-1-0301-5707-8;56.46;5
Der Prozess;Amanda Alexa;2016;385-6-4805-8997-6;99.35;8
La Promise du voyeur;Dr Ambre Vincent;1949;897-8-8831-4903-8;95.56;6
No Country for Old Men;Nathanial Brakus;1963;696-4-3622-5158-0;61.89;1
Le Désir des femmes fortes;Lacroix Maxime;1979;294-7-7977-6017-0;96.97;1
Der grüne Heinrich;Lenn von Gummelt;1955;738-0-2186-6300-2;71.36;0
La progéniture du mal;Mme Pierre Lambert;1955;363-4-5445-1313-5;27.83;8
Der Steppenwolf;Alex vom Sehls;1976;042-3-3913-3584-3;04.11;2
Le Désir des femmes fortes;Perrot Mathis;2006;462-6-6993-9316-8;57.06;2
Specimen Days;Marcel Ratke;1956;518-7-7501-1287-4;61.67;6
La Discipline des orphelins;Legrand Lena;1970;681-2-7591-2143-5;28.80;0
Miss Sara Sampson;Sinan Holl;2005;516-7-7353-8243-1;64.73;2
La Promise du voyeur;Carpentier Manon;2008;016-1-8093-9034-0;08.63;2
Die Leiden des jungen Werther;Freiherr Sascha von Stube;2014;231-7-7014-5496-6;66.93;7
La Promise du voyeur;Aubry Alicia;2001;568-1-6883-8206-1;52.45;4
This Side of Paradise;Ricardo Crooks;2003;943-2-3984-2675-4;66.46;8
Le Siècle de la rue voisine;Rousseau Sarah;1982;674-5-2466-7904-2;01.13;3
Fabian;Brandon von Ostwald;2004;334-6-0548-9386-0;79.28;0
La Discipline des orphelins;M. Justine Leclercq;1972;160-5-4975-9858-8;59.91;0
Jedermann;Ron Leiwesmeier;1979;236-1-4989-3849-5;01.99;8
L'Odeur du sanglier;Marie Marie;2009;423-9-5294-5255-7;41.14;4
The Last Temptation;Dylan Hilll;2016;231-7-7479-5504-2;45.93;9
La Promise du voyeur;Mohamed Schmitt;1994;738-2-2674-7967-3;52.23;5
Das kalte Herz;Tabea Stenzel;1948;293-3-1939-4256-6;51.79;7
La Discipline des orphelins;Gonzalez Julien;2018;711-1-6806-1811-4;22.24;1
Maria Stuart;Jay Ecker;2012;832-3-4369-4610-2;48.88;7
La Promise du voyeur;M. Louis Brunet;1977;170-8-3524-3349-3;45.87;7
No Longer at Ease;Liam Marquardt;2010;199-4-4596-1674-6;07.49;1
L'Odeur du sanglier;Lucas Carpentier;1976;543-7-5737-1913-6;88.57;6
Faust, Part I;Kenan Vangermain;1960;568-6-3327-9613-7;01.50;7
L'Odeur du sanglier;Prof Mattéo Perez;2007;786-5-3551-8278-6;96.01;0
Die Räuber;Alexa Knoblich;2012;594-7-8329-1100-4;20.98;4
L'Odeur du sanglier;Louna Gerard;1960;921-8-0006-9758-5;25.78;3
The Monkey's Raincoat;Reva Romaguera;2015;898-3-3925-3594-8;90.30;3
L'Odeur du sanglier;Moreau Elisa;2002;097-4-6970-6819-6;68.74;2
Der Augenblick der Liebe;Cindy Wallstab;2010;649-0-3371-8726-7;47.94;7
La progéniture du mal;Prof Benjamin Leclercq;1988;365-7-2186-9586-7;71.80;6
Vor Sonnenaufgang;Fr. Lyn Weniger;2003;079-9-7723-8749-0;07.64;8
La progéniture du mal;Girard Théo;2017;023-3-3960-6544-3;91.01;9
An Evil Cradling;Kirstin Hilll;2006;846-8-1355-1283-0;48.53;0
La progéniture du mal;Emilie Gonzalez;1987;495-3-4973-0192-0;40.08;2
Don Karlos;Kurt Kron;2017;620-3-1877-9233-2;44.66;3
Le Siècle de la rue voisine;Da silva Ambre;2016;562-2-7127-3720-5;88.57;0
Der Hauptmann von Köpenick;Freiherr Dorothea Sander;2000;111-0-7916-9626-0;02.54;9
La Peau des savants;Chloé Petit;2004;791-1-9216-6205-6;42.36;7
After Many a Summer Dies the Swan;Lelia Goyette;1988;521-0-2987-8626-8;36.07;9
La Promise du voyeur;Meunier Louis;1947;727-0-6507-0057-1;48.80;3
Stolz und Vorurteil;Isa Horn;1945;294-0-9422-7896-4;94.24;8
Pourquoi je mens ?;Lou Faure;1993;779-0-8550-0873-0;76.89;3
Die Leute von Seldwyla;Freiherrin Jonah von Kochan;2012;435-9-6917-2530-2;98.04;6
La Soumission comme passion;Mlle Tom Boyer;1994;197-4-8478-5116-4;20.42;0
Dulce et Decorum Est;Desiree Stiedemann;2011;582-4-9259-6731-6;33.36;7
La Soumission comme passion;M. Juliette Leroux;1992;693-3-1859-5638-9;67.49;6
Wilhelm Meisters Wanderjahre oder die Entsagenden;Giuliano von Kempter;2005;203-5-0599-6514-4;28.74;5
La Peau des savants;Manon Nicolas;1962;605-2-0767-6578-2;85.87;8
Der Besuch der alten Dame;Salome Diezel;1945;186-8-2770-1130-8;62.97;8
La Soumission comme passion;Duval Valentin;1983;977-3-9495-3017-5;81.66;5
A Catskill Eagle;Maxwell Weimann Sr.;2013;433-7-1048-1002-7;72.08;5
Le Siècle de la rue voisine;Mme Thomas Vincent;1983;764-1-0631-4289-0;91.42;1
Die Aufzeichnungen des Malte Laurids Brigge;Matthias Katzinski;2001;818-3-9684-2753-7;72.80;9
Le Siècle de la rue voisine;M. Léo Brunet;2008;717-8-1016-9337-5;22.89;6
Maria Stuart;Ludwig Lukoschek;1968;263-7-2457-4294-2;89.26;6
La Promise du voyeur;Gabriel Barre;2005;487-5-3380-2087-6;83.42;0
The Road Less Traveled;Hayden Torp;1996;795-6-9218-9703-1;16.24;0
Le Siècle de la rue voisine;Mlle Evan Guillaume;1997;187-0-2775-4504-6;97.64;8
Kabale und Liebe;Mads Wischek;2019;729-7-9469-7053-2;08.38;6
Le Siècle de la rue voisine;Marie Hugo;1987;628-5-4344-9243-8;03.02;1
Die Waffen nieder!;Freiherr Nela Kazmarek;1956;380-0-8397-5057-0;46.29;0
La Peau des savants;Lilou Le roux;1973;428-7-5813-5607-8;55.79;2
A Farewell to Arms;Antone Denesik;1953;309-7-5503-6169-8;52.37;2
La Discipline des orphelins;Renard Lucie;1983;107-8-3783-0126-0;89.46;8
Der Tod in Venedig und andere Erzählungen;Elif von der Salow;2014;871-9-3702-4001-3;91.19;5
La Discipline des orphelins;Kylian Dufour;2007;552-8-8901-4091-3;67.56;6
Die Leute von Seldwyla;Valentina Abel;2016;023-5-2763-8727-5;01.76;9
Le Siècle de la rue voisine;M. Mathéo Olivier;2018;845-4-2262-8236-6;64.89;1
By Grand Central Station I Sat Down and Wept;Dr. Janet Swift;2014;795-8-2650-6892-1;89.65;3
L'Odeur du sanglier;Prof Charlotte Caron;1975;022-8-5383-9936-1;90.10;0
Die Räuber;David Tang;2017;637-5-4462-2131-9;38.35;9
Le Couloir de tous les mépris;Mme Benjamin Guillot;2002;330-7-3852-6498-0;58.49;4
Die Räuber;Philipp von der Hallmann;1968;779-9-5501-2656-3;26.25;7
L'Odeur du sanglier;Enzo Nicolas;2009;655-1-9500-3131-7;05.91;8
Infinite Jest;Broderick Spencer;2010;268-2-7010-4348-5;63.79;9
L'Odeur du sanglier;Philippe Elisa;2000;768-7-2364-2139-5;45.86;0
Die Rote;Kalle Straub;1998;483-2-0046-6746-3;94.07;7
Pourquoi je mens ?;Breton Noah;1977;550-3-3704-9163-1;40.85;6
Der arme Spielmann;Femke Hess;1983;304-5-2013-6689-2;17.33;6
Le Couloir de tous les mépris;Enzo Masson;2001;238-3-9444-1068-3;82.61;4
Dance Dance Dance;Anastacio Corkery;1944;673-0-6098-1554-4;91.76;3
Le Couloir de tous les mépris;Enzo Andre;1948;369-1-6413-2835-8;75.45;5
