title;author;publicationyear;isbn;europrice;stock
La progéniture du mal;Thomas Dumas;1954;876-5-6659-5960-6;58.14;9
Der Richter und sein Henker;Ömer Figura;2018;656-3-7112-4569-4;35.38;7
L'Odyssée invisible;Breton Léa;2003;458-7-5121-3246-5;89.13;9
The Other Side of Silence;Jennie Reichert III;1999;596-5-5802-4148-8;99.10;9
L'Odeur du sanglier;Mme Mattéo Louis;1950;128-0-5175-1167-1;43.69;3
Götz von Berlichingen;Baris Martin;1941;726-0-5727-5508-7;56.51;8
La Promise du voyeur;Royer Léo;1983;778-2-5380-1352-1;09.53;7
Das Parfum;Henri Steuk;1989;392-3-4233-3511-2;41.62;3
La Discipline des orphelins;Mme Jade Barre;1977;382-1-6848-6456-9;55.99;0
Eyeless in Gaza;Russel Price;2011;327-2-0084-2018-6;41.32;5
La progéniture du mal;Dupuis Hugo;2016;411-9-8510-6081-0;13.70;4
Im Westen nichts Neues;Liv Deerberg;2012;091-3-6230-6465-1;35.16;8
L'Odyssée invisible;Clémence Renard;2002;931-4-8104-4471-9;15.79;5
Unterm Rad;Jella vom Krohn;1979;105-7-4592-9990-7;21.47;8
Pourquoi je mens ?;Dr Pauline Jacquet;2002;709-7-5242-5825-8;96.23;7
A Glass of Blessings;Ms. Cordell Runolfsdottir;2005;320-5-4478-7477-9;29.76;2
Le Couloir de tous les mépris;Léa Roche;2018;602-8-4925-0637-0;76.23;6
Heidi;Justin Volk;2011;413-6-4369-7920-1;77.61;2
L'Odeur du sanglier;Mlle Juliette Martin;1994;188-0-5581-0166-3;13.74;4
Leben des Galilei;Chris Konow;2004;804-7-7529-2501-8;08.29;2
La Promise du voyeur;Mlle Nicolas Muller;2019;506-8-9066-1741-6;20.00;4
From Here to Eternity;Jamel Kerluke;2003;949-6-3644-3235-5;41.18;1
La Soumission comme passion;Marie Aubry;1958;049-8-7779-5413-3;30.48;1
Der Zauberberg;Freiherrin Immanuel Haack;2001;725-3-2373-8230-6;40.49;6
La Promise du voyeur;Antoine Menard;1996;017-1-9653-2156-6;82.79;3
Maria Stuart;Leandra Dück;1959;661-3-8639-1289-1;74.36;3
Le Siècle de la rue voisine;Nathan Poirier;1961;512-6-6129-0379-4;26.26;2
Tirra Lirra by the River;Mrs. Lonzo Hyatt;1999;495-8-9904-8144-0;34.91;1
La Discipline des orphelins;Perez Manon;2008;637-0-3051-1536-3;23.04;3
Der eiserne Gustav;Gino Balzer;2017;871-0-2892-2106-5;55.45;8
Pourquoi je mens ?;Arthur Pierre;1943;118-3-0506-7812-2;08.28;9
Der Richter und sein Henker;Stefan Schorr;1943;551-0-3198-8186-0;89.10;4
La Promise du voyeur;Laura Fontaine;1977;345-9-8636-9904-6;73.12;3
Eyeless in Gaza;Miss Isabelle Steuber;2010;664-7-1032-0305-1;52.59;1
La Soumission comme passion;Lopez Enzo;1981;322-9-7633-2473-5;73.19;7
Homo faber;Baronin Mathilde von der Winter;1971;526-9-9067-2494-4;92.14;0
Le Siècle de la rue voisine;Rayan Olivier;1954;390-1-2737-5339-3;21.64;6
Paare, Passanten;Marlen Malek;2001;660-8-6897-6206-1;68.78;0
Le Siècle de la rue voisine;M. Mael Berger;2003;885-0-1575-7512-2;25.82;6
Consider the Lilies;Ms. Modesta Friesen;2002;906-3-8914-7959-5;29.83;6
La Discipline des orphelins;Prof Ambre Berger;2016;213-5-2633-7591-4;68.33;7
Ansichten Eines Clowns;Pia Friess;1968;460-3-4394-8893-0;50.09;3
Le Désir des femmes fortes;Roux Tom;2002;763-8-0481-3607-8;98.64;4
Fabian;Hr. Ina Steuk;1995;898-9-1628-9455-0;03.27;8
L'Odyssée invisible;Gaillard Anaïs;1967;137-3-6756-6036-7;64.23;0
Number the Stars;Lexie Kertzmann;2018;241-2-7442-2932-3;79.73;2
L'Odeur du sanglier;Mathilde Dumont;1992;741-5-2075-2061-2;63.93;4
Andorra;Dr. Elsa Zeidler;2010;736-5-2990-6533-3;03.34;5
Pourquoi je mens ?;Guyot Mathis;1992;812-2-0444-8469-9;54.04;1
Der arme Spielmann;Baron Johanna zu Brosch;2003;134-3-5289-6531-1;79.90;5
La Discipline des orphelins;Dr Jules Vincent;2016;356-9-5886-9634-5;57.26;2
Nectar in a Sieve;Ettie McDermott DVM;1986;100-7-7814-6275-7;13.81;9
Le Siècle de la rue voisine;Dubois Noah;2000;990-7-4064-7914-5;50.24;5
Iphigenie auf Tauris;Philip vom Raubuch;1952;135-8-9204-1129-4;97.33;5
L'Odyssée invisible;Poirier Anaïs;2016;646-1-9066-7931-3;58.76;6
Götz von Berlichingen;Lillian Sattelmaier;1993;955-3-9991-0897-1;53.85;5
Le Désir des femmes fortes;Mme Jules Charpentier;1942;052-7-0901-9224-7;51.71;8
Noli Me Tangere;Miss Ryann Lebsack;1962;474-6-4242-1931-0;49.10;4
La Promise du voyeur;Mlle Océane Vidal;2000;606-9-7562-0496-8;84.98;5
Jahrestage;Flora von der Matschke;2005;936-8-0141-8222-7;29.56;5
L'Odeur du sanglier;Emilie Lambert;2000;341-0-7599-4401-4;46.88;3
Die neuen Leiden des jungen Werthers;Naomi Erwes;1951;691-5-0645-8397-1;67.45;6
L'Odyssée invisible;Gabriel Sanchez;2014;734-0-6246-5362-1;64.74;7
The Curious Incident of the Dog in the Night-Time;Lisa Huel;2002;378-6-9212-7160-3;71.16;7
La Soumission comme passion;M. Lena Gauthier;2001;173-0-9276-3334-5;52.23;5
Traumnovelle/Die Braut;Damien Stern;2000;284-3-3625-9248-9;18.98;4
La progéniture du mal;Zoe Lucas;1994;350-2-4709-6667-4;17.26;3
Die Box;Yasmin Zwiener;2015;964-1-3663-0706-3;97.86;2
La progéniture du mal;Richard Louise;2019;155-5-2013-8659-5;40.33;0
The Other Side of Silence;Delta Stoltenberg;2000;629-3-8735-6492-5;01.67;2
Le Désir des femmes fortes;Alexandre Leclercq;1990;804-2-7131-4338-8;60.60;4
Die Aufzeichnungen des Malte Laurids Brigge;Taha vom Winkelmann;1955;738-5-6866-9192-3;18.90;5
Le Couloir de tous les mépris;Mélissa Perrin;1957;558-5-2040-5040-2;79.48;3
Wilhelm Tell;Luka Kobs;1940;657-7-7911-4116-1;70.08;2
L'Odyssée invisible;Dufour Marie;2002;110-5-0930-1180-2;58.00;4
The Moon by Night;Scotty Schuppe;2018;941-5-7613-9783-0;74.95;1
L'Odeur du sanglier;Francois Maëlle;2002;807-1-9430-6471-1;75.07;3
Der Brief des Lord Chandos;Prof. Dr. Theodor Otte;2010;184-2-3259-7346-1;26.99;7
Le Couloir de tous les mépris;Noémie Lacroix;2015;136-0-3500-7024-9;13.79;0
Reigen;Tyler Balcer;1982;139-9-7650-2176-4;66.56;6
L'Odyssée invisible;Mathis Muller;1975;166-2-2060-2642-1;96.23;2
Antic Hay;Bertrand Graham;2018;047-6-2831-8923-0;54.72;8
Le Siècle de la rue voisine;Garcia Romane;1963;056-4-3503-2261-6;68.30;8
Deutschland. Ein Wintermärchen;Karoline Nodler;2012;828-1-1643-0330-0;47.16;9
Le Couloir de tous les mépris;M. Maeva Garcia;2003;778-0-2082-1520-4;77.52;8
Vor Sonnenaufgang;Freiherrin Mina zu Erm;1967;263-1-2761-7856-8;20.60;9
La Peau des savants;David Sacha;2006;912-6-7338-8634-8;35.37;4
Blithe Spirit;Hipolito Bartell MD;1954;280-1-4220-2072-0;26.38;2
Pourquoi je mens ?;Justine Dumont;2016;578-6-0685-2777-8;40.66;2
Der (kleine) Schatz im Kugelbauch;Freiherrin Alisa Bremer;1972;496-5-9609-9909-7;20.71;3
Pourquoi je mens ?;Victor Vincent;1944;761-7-8008-9007-8;05.89;2
Götz von Berlichingen;Dr. Lavinia Suffa;1955;722-1-9185-6412-5;42.62;0
Le Couloir de tous les mépris;Prof Rayan Legrand;1981;019-1-2554-4229-9;81.45;8
The Other Side of Silence;Johnnie Simonis Sr.;2006;064-1-9493-9812-0;68.00;7
La Discipline des orphelins;Garcia Mathis;1955;478-4-8455-3795-1;20.56;4
Haus ohne Hüter;Marieke Kraus;2003;597-2-0607-1433-0;13.94;4
Le Siècle de la rue voisine;Dr Mael Garcia;1953;701-0-2942-8894-4;77.34;8
Wer einmal aus dem Blechnapf frisst;Prof. Mareike Stürmer;1982;683-4-2040-0380-0;31.87;6
L'Odyssée invisible;Carre Noémie;2000;768-0-1601-7457-3;19.94;4
Terrible Swift Sword;Devonte Abbott;2017;738-5-4618-8096-8;80.22;0
Le Siècle de la rue voisine;Jean Nicolas;2017;238-4-7173-6706-0;14.92;4
Narziß und Goldmund;Karolina Goldfuss;1940;396-3-4408-9051-5;23.55;9
La Soumission comme passion;Romane Guyot;1964;826-7-9391-8018-4;41.58;2
Mario und der Zauberer;Freiherr Onur Rüdiger;1984;768-5-3478-3007-9;91.08;0
L'Odyssée invisible;Julien Benjamin;2009;799-8-9857-0667-9;48.91;6
After Many a Summer Dies the Swan;Mr. Tod Hackett;2008;994-5-3569-2287-6;94.12;3
L'Odyssée invisible;Mlle Adrien Lefebvre;1986;361-1-9087-4755-0;04.48;5
Die Welt als Wille & Wahn;Alma Breuer;1995;548-2-3054-6813-0;43.88;3
La Peau des savants;M. Lola Rousseau;1990;490-8-4032-4129-9;78.74;9
Atemschaukel;Baronin Alica zu Sutschet;2019;308-8-6040-2334-6;74.80;4
La Peau des savants;Mlle Jade Baron;2013;070-9-5910-6021-4;77.52;3
The Stars' Tennis Balls;Addison Toy;2017;155-3-3750-7548-9;89.07;7
La Soumission comme passion;Eva Moreau;2005;913-8-9529-3871-3;56.95;7
Kabale und Liebe;Zeynep Dittmer;2011;577-3-4329-6903-2;25.16;9
La Peau des savants;Arnaud Noémie;1997;698-4-2008-9550-0;54.66;7
Eiche und Angora;Steffen Bork;1981;559-2-2519-9356-2;53.30;4
La progéniture du mal;Mlle Noémie Marchal;2006;523-1-5466-3096-1;65.56;4
The Moon by Night;Ambrose Walsh DDS;2000;691-7-5644-6672-6;86.09;3
La Discipline des orphelins;Clément Vidal;1957;584-9-7826-4617-8;95.80;7
Stolz und Vorurteil;Ines vom Schottmann;1963;887-1-2508-5966-8;04.65;7
La Discipline des orphelins;Maillard Jade;1997;911-4-2161-8932-9;82.86;3
Die Rote;Dion Janich;2002;728-1-0830-6219-3;72.61;0
Le Siècle de la rue voisine;Louise Blanchard;1966;323-6-1049-1720-7;53.69;9
Blithe Spirit;Mariam Langworth;1970;600-4-5581-4429-6;27.39;7
La Soumission comme passion;Gauthier Maeva;1983;486-7-6509-6475-2;36.07;5
Faust, Part I;Femke Schmidt;2003;337-4-7872-2820-4;25.32;7
La Discipline des orphelins;Mme Lucie Masson;1995;377-7-2176-4443-0;16.19;7
Der Prozess;Darleen von der Görmer;1965;692-2-9794-3380-9;31.31;2
L'Odeur du sanglier;Mlle Chloé Joly;2007;768-1-1812-0206-1;51.05;0
Jacob Have I Loved;Lempi Miller;2009;503-8-4607-2342-3;27.60;2
La Promise du voyeur;Mme Océane Julien;1984;277-6-9583-8124-7;17.89;3
Der Goldene Topf;Manuel Dressler;1970;595-3-9356-8759-3;42.65;9
La Promise du voyeur;Prof Gabriel Joly;2002;665-7-7679-0701-4;23.10;4
Lieutenant Gustl;Baronin Sascha Pfennig;2019;353-2-5968-1995-3;13.90;2
La progéniture du mal;Dr Ines Cousin;1996;494-7-6816-9976-2;09.00;4
Vile Bodies;Alfred Koch;2016;817-3-7108-9982-5;51.59;1
La Soumission comme passion;M. Anaïs Lemoine;1959;711-2-6733-0897-6;59.11;9
Woyzeck;Graf Nike Steinkamp;1990;627-3-6548-6385-5;10.13;1
La Promise du voyeur;Philippe Valentin;1951;586-3-4924-8904-5;66.88;1
Also sprach Zarathustra;Freiherr Ricardo vom Sewald;1995;489-0-8113-3413-5;29.84;4
La Soumission comme passion;Lisa Dupont;1982;492-1-5702-0329-4;90.40;3
Ah, Wilderness!;Milton Bashirian;1990;340-1-4400-4746-1;89.34;8
Le Couloir de tous les mépris;Dr Mathéo Berger;2017;691-7-8998-3347-3;06.78;5
Der Besuch der alten Dame;Maddox von Timmermann;2000;495-9-5132-1228-1;38.98;2
La Discipline des orphelins;Louis Francois;1954;855-6-5848-1651-1;64.31;0
Deutschland. Ein Wintermärchen;Graf Sude Werle;2013;925-2-2105-7353-5;24.76;0
Pourquoi je mens ?;Prof Hugo Marty;2013;678-5-5312-6392-1;30.96;5
The Mirror Crack'd from Side to Side;Monserrat Miller PhD;1944;086-8-6931-3755-4;99.00;7
La progéniture du mal;Mlle Enzo Bonnet;2014;143-2-7827-6579-5;44.67;1
Der Tor und der Tod;Alana Wöschler;2001;227-0-5503-9777-0;79.59;5
La Peau des savants;Lefevre Adrien;1953;579-1-2190-2933-8;54.34;9
Der Hauptmann von Köpenick;Immanuel Kaul;1966;822-2-6571-9699-9;96.83;1
L'Odyssée invisible;Clémence Girard;1961;124-0-0528-0509-2;04.00;5
Unweaving the Rainbow;Grace Doyle;2015;952-6-3553-0789-7;41.77;8
La Promise du voyeur;Marty Louise;2018;862-4-8639-9869-1;80.00;8
Der Spaziergang;Andreas von Jahn;1951;073-0-4261-7248-6;04.16;5
Le Couloir de tous les mépris;M. Valentin Leroy;2003;478-2-9450-4409-9;64.30;4
Nathan der Weise;Graf Furkan vom Marten;1969;938-0-3495-8738-3;73.89;8
L'Odyssée invisible;Mlle Maxime Masson;1992;154-4-9187-8655-9;44.25;2
That Hideous Strength;Alize Kreiger IV;2015;389-4-6810-5637-7;73.31;9
La Peau des savants;Mlle Ines Gaillard;2017;523-2-0576-7735-5;20.96;4
Das Parfum;Dipl.-Ing. Ahmet Eggenmueller;2003;752-8-9745-0669-9;99.71;3
Le Couloir de tous les mépris;Remy Emilie;1950;161-3-9043-5637-4;84.31;9
Maria Magdalene;Dr. Iven Teichmann;1997;461-1-9626-2498-3;20.95;7
La Peau des savants;Vasseur Romain;2011;879-2-1529-0158-2;91.04;9
Look to Windward;Roxane Heidenreich;2011;476-5-3079-7283-2;61.51;9
L'Odeur du sanglier;Prof Maëlle Guerin;1954;143-9-7482-4913-3;10.55;5
Hyperion oder der Eremit in Griechenland;Klaas Polizzi;2019;473-2-1202-0936-3;66.62;7
Le Siècle de la rue voisine;Chevalier Anaïs;1981;570-1-6064-1645-5;47.98;5
Hyperion oder der Eremit in Griechenland;Freiherr Louis von Goebel;2011;100-2-3424-5710-4;05.72;6
La progéniture du mal;Adam Berger;2018;003-6-7889-3855-5;44.74;5
Blue Remembered Earth;Reanna Mante;1966;236-6-6922-7676-9;58.94;8
Le Siècle de la rue voisine;Vidal Léa;2001;138-8-5470-7326-5;38.03;6
Die Rote;Cecile Hentschel;1947;656-8-2734-3053-9;28.39;0
Pourquoi je mens ?;Roger Lola;2005;646-3-4491-8612-3;43.23;6
Die Erschiessung des Landesverräters Ernst S.;Levent Auer;2012;626-0-4409-2755-3;10.18;7
Le Désir des femmes fortes;Dr Noémie Schmitt;1984;408-3-2381-9322-1;33.57;2
If Not Now, When?;Dejon Ebert;2015;682-9-3426-3931-7;72.94;0
Le Siècle de la rue voisine;Adam Lefebvre;2000;944-8-3913-4087-1;69.35;8
Vor Sonnenaufgang;Prof. Dr. Elias Giehl;1974;511-9-4804-8848-6;85.85;5
La Peau des savants;Lemoine Paul;1987;610-6-9860-9579-5;46.74;5
Der Vorleser;Hr. Luis Büngener;1978;329-3-2242-2484-9;01.34;0
La Discipline des orphelins;Prof Lucie Carre;1963;917-3-3906-0739-1;76.61;7
The Wealth of Nations;Robb Heaney;2014;413-2-3712-7485-3;83.14;7
L'Odeur du sanglier;Kylian Barbier;1980;076-5-4176-8578-4;79.34;2
Berlin Alexanderplatz;Lisanne Wieser;1990;204-2-7692-1024-0;65.99;1
La progéniture du mal;Mlle Lou Lecomte;1962;452-8-6434-9327-8;26.89;2
Gehirne;Sally Plotzitzka;1949;438-2-9719-7939-8;07.18;9
La Promise du voyeur;Vidal Adrien;1982;328-4-4279-4637-7;31.69;4
Bury My Heart at Wounded Knee;Nora Ortiz;1985;635-9-1424-4649-9;17.27;1
La Promise du voyeur;Mlle Nicolas Muller;1974;491-2-0002-7860-9;25.72;1
Paare, Passanten;Christoph von Pippig;1964;306-0-7565-5290-1;52.16;7
La Promise du voyeur;Mlle Louis Garnier;1975;140-9-5603-9855-1;52.89;8
Gehirne;Melissa Seiler;2008;698-1-3777-7873-3;82.70;3
La Discipline des orphelins;Prof Maeva Petit;2008;954-9-4046-9551-8;32.74;1
Jesting Pilate;Lorena Raynor;2009;192-0-9849-0121-2;33.02;7
La Discipline des orphelins;Thomas Chloé;2019;340-3-7184-3237-0;42.80;3
Der arme Spielmann;Enno Florczak;1955;527-1-9544-7399-3;24.51;9
La Promise du voyeur;M. Ethan Lemoine;2013;723-2-4708-0298-9;75.24;0
Die neuen Leiden des jungen Werthers;David Harter;1960;773-6-8181-4490-9;74.70;3
La Soumission comme passion;Julien Dufour;1972;211-3-7675-9898-6;66.06;8
Françoise Sagan;Marielle Dickinson PhD;1970;828-3-2888-1206-2;35.05;2
La progéniture du mal;Girard Lucas;1948;362-0-8844-6750-5;30.39;9
Bekenntnisse des Hochstaplers Felix Krull;Korbinian Berning;1989;132-8-8886-3622-8;85.69;4
La progéniture du mal;Mattéo Nguyen;2010;813-4-8726-4135-6;23.42;5
Die verlorene Ehre der Katharina Blum;Yara Dutkiewicz;1981;569-0-1553-5854-7;47.16;0
La progéniture du mal;Prevost Lola;1986;187-1-0284-0381-9;68.15;0
The Skull Beneath the Skin;Luther West;1952;226-3-1786-7738-1;69.80;4
La Promise du voyeur;Léo Barre;2002;316-6-7079-7836-4;23.45;6
Biedermann und die Brandstifter;Prof. Dr. Dr. Isa Vona;1980;158-9-8465-4022-9;21.78;2
Le Désir des femmes fortes;Fleury Mathéo;2014;904-6-8500-9749-3;72.59;7
Der Untertan;Ilyas Barr;1964;935-4-7891-6790-7;51.67;4
Pourquoi je mens ?;Mlle Camille Charpentier;2014;033-2-8064-2782-2;61.47;1
Lilies of the Field;Dorthy Witting V;1988;980-0-1975-2300-7;20.64;8
La Peau des savants;Léa Muller;1974;568-2-7528-9797-5;34.05;2
Dantons Tod;Nicolas Huke;1940;101-0-6878-4039-5;55.79;0
Le Couloir de tous les mépris;Thomas Lucas;1984;468-5-8188-8342-4;65.78;1
Die Buddenbrooks;Baron Leonhard zu Cleem;1963;352-1-3514-9407-5;73.44;7
Le Siècle de la rue voisine;Nathan Durand;2014;386-9-8256-7416-6;49.99;7
The Last Temptation;Consuelo Schmeler;1998;648-7-9597-0354-8;57.33;2
La Peau des savants;Pauline Caron;1990;308-8-2129-9089-9;84.11;2
Die Dreigroschenoper;Fynn von Riermeier;1972;491-6-5863-7711-5;86.39;5
L'Odeur du sanglier;Mme Mathis Garcia;1991;128-0-7759-0035-8;57.25;3
Die Aufzeichnungen des Malte Laurids Brigge;Fr. Tamara Gelling;2012;661-6-9533-4483-9;98.36;1
La Discipline des orphelins;Marie Andre;1996;137-5-7496-9451-4;76.59;9
A Time to Kill;Ms. Geovany Greenfelder;1994;703-3-8740-2401-9;56.78;4
La Soumission comme passion;Mlle Lina Olivier;2006;079-5-2373-3595-7;48.94;2
Die Leute von Seldwyla;Leon von der Terlecki;1977;951-7-2807-8782-6;75.63;4
Le Siècle de la rue voisine;Marchand Kylian;1980;652-2-4768-9514-2;28.82;3
Die Aufzeichnungen des Malte Laurids Brigge;Madita Spöttel;1986;052-7-1648-1234-6;54.73;4
Le Désir des femmes fortes;Maëlle Dumas;1992;010-6-6673-9586-1;67.70;7
Vanity Fair;Hipolito Hammes;1993;617-1-9726-0840-1;59.28;2
La Discipline des orphelins;Dr Jade Meunier;1981;765-4-5050-5431-4;05.56;1
Wilhelm Tell;Fr. Dean Reinelt;1985;562-3-6627-7663-4;00.59;6
Le Siècle de la rue voisine;Gaillard Alice;1999;201-9-6745-0524-4;91.26;1
Der Untertan;Hennes Frey;1977;115-3-6446-1097-6;90.18;1
La Promise du voyeur;Quentin Pons;2016;745-3-8310-2731-3;43.96;1
Terrible Swift Sword;Stella Doyle;1965;273-7-7035-8024-0;78.58;2
La Peau des savants;Prof Antoine Schneider;1987;882-3-9070-8773-2;94.81;9
Der Stellvertreter;Baron Mirco Elbe;1975;245-4-0002-3334-4;28.84;2
La Discipline des orphelins;Mlle Mélissa Barre;1952;682-8-7193-5613-7;02.07;0
Maria Magdalene;Levent vom Lohmann;2000;875-1-2672-6596-6;55.73;2
Le Désir des femmes fortes;Paul Garcia;1984;476-0-9402-5489-8;86.48;0
Tiger! Tiger!;Dorthy Thiel;1970;907-4-2099-4955-6;80.55;7
La Peau des savants;Laura Morel;1953;001-6-5248-5186-9;05.23;0
Der Hauptmann von Köpenick;Justus Bruder;1981;826-2-9010-0200-1;36.61;7
La Soumission comme passion;Prof Jeanne Morel;1949;595-6-4197-9961-9;27.83;1
Das steinerne Herz;Prof. Dr. Dr. Viktor Hardy;1973;255-7-3832-7053-9;63.89;7
La progéniture du mal;Mlle Ines Vasseur;1968;200-7-2552-3862-9;97.01;0
Mother Night;Polly Thompson V;1952;760-9-6819-8287-0;93.11;3
