title;author;publicationyear;isbn;europrice;stock
La Promise du voyeur;Gautier Lucas;1952;065-2-1300-2778-2;41.91;6
Im Krebsgang;Lucienne Werrmann;2015;667-4-1005-0286-7;33.44;3
Le Couloir de tous les mépris;Leroy Maëlle;1970;371-9-5398-4252-8;37.90;0
Look to Windward;Emmalee Jenkins;1953;953-6-1955-8653-4;74.53;1
L'Odyssée invisible;Michel Nathan;2018;712-9-1923-2492-6;52.10;8
Katz und Maus;Amina Klose;2019;815-8-4839-4827-3;85.48;3
Le Désir des femmes fortes;Mlle Evan Vidal;1995;140-0-5281-5559-6;84.96;6
Wer einmal aus dem Blechnapf frisst;Immanuel von Kahl;1951;981-5-9927-5747-0;04.97;3
La Soumission comme passion;Mlle Théo Garcia;2004;219-0-5000-5083-6;70.60;6
The Last Enemy;Alana Koch;2003;319-9-2302-0525-7;23.96;1
La Soumission comme passion;Dupont Charlotte;2019;607-2-7362-4866-4;50.81;7
Der abenteuerliche Simplicissimus;Magdalena Bieler;2000;380-8-9889-4175-9;41.36;0
La Soumission comme passion;Mlle Hugo Boyer;1949;918-1-4166-9439-1;78.15;3
Die Marquise von O...;Baronin Joel Zwiener;2017;465-2-3245-8250-4;14.57;5
La Soumission comme passion;Huet Mathéo;2001;895-3-3839-2963-2;54.54;9
The Monkey's Raincoat;Pierce Johns;1974;882-8-3182-7623-6;01.81;3
La Soumission comme passion;Charles Mael;2008;008-3-4875-5620-3;47.81;9
Romulus der Große;Baron Vera Ne;1947;990-2-4144-3010-7;01.35;4
Le Désir des femmes fortes;Hugo Michel;2009;916-8-2115-4327-3;65.49;4
Der Tod in Venedig und andere Erzählungen;Josua Fricke;2002;898-0-0496-6436-4;34.52;3
La progéniture du mal;Prof Océane Michel;1947;379-7-3632-5333-0;69.57;1
Nine Coaches Waiting;Finn Heathcote;2012;731-3-5266-8324-6;65.08;9
La Promise du voyeur;Brun Enzo;1980;020-0-4027-9764-1;91.45;2
Unterhaltungen deutscher Ausgewanderten;Graf Nike Figl;1971;260-6-8027-2545-7;57.56;1
La Discipline des orphelins;Benoit Adrien;1949;310-8-2018-1184-4;18.60;0
Miss Sara Sampson;Gräfin Vanessa Brehmer;1949;906-8-5664-4852-6;09.48;3
L'Odyssée invisible;Lina Robert;1955;333-7-6334-2645-4;89.28;3
From Here to Eternity;Elena Spinka;1947;892-3-7679-6860-2;64.71;4
Le Désir des femmes fortes;Robert Marie;2001;531-1-7338-7302-0;68.14;4
Miss Sara Sampson;Hr. Michaela Broening;2010;576-8-5380-8012-7;00.61;5
Le Désir des femmes fortes;Mme Emilie Marty;1981;838-7-6926-9579-6;46.71;5
Jedermann;Prof. Joe Klaas;2014;788-8-5167-9287-3;21.56;7
La Peau des savants;Dr Pauline Simon;2000;879-8-6122-9684-9;41.61;2
Tender Is the Night;Ashleigh Kerluke;1997;300-5-1881-4398-2;38.88;2
Le Désir des femmes fortes;Prof Mathis Nicolas;1949;768-5-8534-6004-0;32.89;8
Der Brief des Lord Chandos;Gräfin Phoebe Tschiers;1964;963-7-0972-1172-9;30.75;7
La Peau des savants;Carla Bonnet;1964;591-3-7804-0322-0;13.34;7
Effi Briest;Marwin Brunner;2012;104-4-8139-4549-7;06.45;9
Le Siècle de la rue voisine;Anaïs Barbier;1957;766-7-1783-1003-1;86.84;4
Pale Kings and Princes;Margarete Kozey III;1941;617-7-7183-3834-8;99.52;6
Le Siècle de la rue voisine;Mlle Louis Lucas;1960;913-8-9328-3520-8;66.56;5
Die Buddenbrooks;Prof. Dr. Dr. Claas Kreissig;1946;298-5-2544-5663-0;00.27;7
La Peau des savants;Dr Benjamin Roussel;1973;431-1-7604-8107-8;92.06;1
Stolz und Vorurteil;Jarno Sinnhuber;1960;107-2-5712-6406-7;68.55;4
La Promise du voyeur;Ethan Martin;2006;524-2-1993-0347-9;16.00;5
Antic Hay;Penelope D'Amore;1972;799-2-6779-4591-0;61.06;3
La progéniture du mal;Noah Guillaume;2009;087-9-6339-9254-9;34.27;3
Till Eulenspiegel;Lennart zu Lewke;2018;665-8-6033-8428-5;57.37;8
La Promise du voyeur;M. Léa Brunet;1974;299-2-5871-1285-8;09.24;5
Sterbender Cato;Valentin Proske;1987;126-3-0287-6964-9;95.79;0
La Promise du voyeur;Da silva Axel;2013;614-6-0083-9420-8;35.70;4
No Highway;Hillary Bosco;2011;839-3-8310-0679-2;85.97;2
L'Odeur du sanglier;Lena Aubry;2004;524-0-6429-0191-8;94.54;9
Die Marquise von O...;Prof. Mateo Clarius;1946;679-5-3694-3751-0;50.78;9
La Discipline des orphelins;Baptiste Baron;2007;308-0-3759-9215-9;02.70;3
Die Buddenbrooks;Christin Schwerdtner;2009;278-4-6223-1801-6;86.46;9
La Promise du voyeur;Yanis Dubois;2008;948-9-4692-0340-6;25.07;8
Taming a Sea Horse;Taryn Weimann;1970;245-9-4562-7357-6;23.02;1
La Peau des savants;Prevost Romane;2009;755-9-6887-6903-8;49.23;9
Der Prozess;Annabell von der Molzan;1963;166-4-6040-5971-1;40.73;5
Pourquoi je mens ?;Pierre Rousseau;1968;046-3-3933-1835-7;00.21;5
Atemschaukel;Ariane Kastner;1990;089-4-6852-7883-2;78.26;8
L'Odyssée invisible;Romane Collet;1983;436-4-5853-6169-4;39.02;5
The Way Through the Woods;Georgiana Parisian DVM;2017;961-5-3243-7640-5;18.11;7
Pourquoi je mens ?;Kylian Rodriguez;1960;269-5-9919-0951-1;95.96;2
Reigen;Freiherrin Jim von der Nieklauson;1951;324-4-4762-3093-7;63.26;4
L'Odeur du sanglier;Enzo Martin;2006;163-1-9558-5628-4;18.28;3
Faserland;Oke Ertl;1986;578-9-2688-9152-8;93.48;3
L'Odeur du sanglier;Lina Marie;2008;080-0-2148-9615-9;23.63;6
Where Angels Fear to Tread;Dr. Mossie Jones;1946;869-0-9949-2618-3;98.92;6
Le Siècle de la rue voisine;Adrien Barre;2001;170-5-7017-8848-1;51.20;6
Lerne lachen ohne zu weinen;Freiherr Marleen Hessek;1957;843-4-4640-4282-8;03.96;0
La Discipline des orphelins;Dr Nicolas Nguyen;2018;047-6-1727-7678-7;47.12;8
Der Verdacht;Wilhelm Steinmetz;1960;123-5-3653-3419-7;30.02;5
Le Couloir de tous les mépris;Mlle Laura Olivier;1979;292-7-8853-9452-4;18.91;3
Recalled to Life;Felicity Price;1941;316-4-0808-6014-1;51.91;5
La Discipline des orphelins;Bernard Julien;1941;754-6-1407-5695-7;23.93;2
Der eiserne Gustav;Lutz Wierig;1998;790-8-3255-8261-8;60.02;4
La Soumission comme passion;Meunier Sacha;2004;088-1-4811-9946-5;79.71;2
Italienische Reise;Freiherr Ylvi Rokossa;2013;098-0-2639-3505-8;64.69;2
Pourquoi je mens ?;M. Clara Rey;1952;971-8-8642-1578-4;05.64;2
Fame Is the Spur;Scarlett Hermann;2008;614-2-0568-1495-9;78.23;5
La progéniture du mal;Perrot Jade;2003;921-2-4299-5591-4;90.97;2
Die Lehre der Sainte-Victoire;Nikita Hirsch;2017;956-9-4513-9757-4;27.94;0
Pourquoi je mens ?;Dupuis Sarah;2016;013-4-5046-8722-7;03.86;2
Heinrich von Ofterdingen;Gräfin Mina Evers;1957;924-4-6226-3890-4;13.92;8
L'Odyssée invisible;Prof Elisa Morin;1991;038-0-5433-7800-1;97.10;0
Carrion Comfort;Mr. Douglas Kuhlman;2015;443-9-9147-7417-9;69.72;1
La progéniture du mal;Nathan Lefevre;1992;871-3-4556-1191-1;97.49;2
Die Erschiessung des Landesverräters Ernst S.;Graf Lucien Pfeiffer;2019;463-3-2986-1938-7;51.60;8
L'Odeur du sanglier;Célia Nicolas;2015;075-5-7847-4572-0;53.19;6
Hyperion oder der Eremit in Griechenland;Freiherr Manuel Schott;1953;781-2-7861-9556-2;31.99;8
La progéniture du mal;Alexandre Schmitt;1980;138-2-0043-1731-3;36.52;5
Look to Windward;Katelyn Russel III;1963;560-3-2459-8429-6;80.54;8
L'Odyssée invisible;Dr Alice Carpentier;2013;685-2-0033-8138-3;92.18;8
Die Lehre der Sainte-Victoire;Aleyna von der Pohl;2004;237-1-9534-5424-7;41.34;5
La progéniture du mal;Mme Lilou Gauthier;2019;673-6-5717-4629-2;07.41;5
Die Box;Kurt von Schüppel;2017;774-5-3904-8661-5;97.87;8
La Peau des savants;Mme Alicia Hubert;2002;420-3-0916-4386-3;14.64;7
The Heart Is a Lonely Hunter;August Senger;1966;055-1-3845-3476-4;63.56;6
L'Odyssée invisible;Maëlys Collet;2018;479-4-5579-7378-0;18.81;0
Des Teufels General;Phil Hehl;2011;855-2-9113-7631-9;00.53;1
La Promise du voyeur;Garcia Célia;2007;242-7-8930-2167-1;44.15;5
Die Dreigroschenoper;Freiherr Kaya Herbrand;2014;804-8-8855-3727-3;97.62;8
Le Siècle de la rue voisine;Lucie Lucas;2018;313-4-9336-3155-7;95.49;1
In Dubious Battle;Cynthia Lakin;1996;262-6-4505-9699-8;45.15;0
La progéniture du mal;Mme Lilou Baron;1967;508-2-2953-4687-8;12.04;7
Jakob der Lügner;Phoebe vom Burger;1945;166-9-5816-1785-5;83.89;1
La Soumission comme passion;Prof Louna Meyer;1987;924-4-3094-9000-2;65.93;9
Catharina von Georgien;Dipl.-Ing. Santino Patzwahl;1960;661-7-7433-7085-6;11.45;0
Le Siècle de la rue voisine;Mme Clément Rodriguez;2000;159-6-1685-6349-3;15.21;9
Stranger in a Strange Land;Ima Adams;2012;235-0-3407-5384-6;25.67;3
L'Odyssée invisible;Mlle Ethan Roy;1940;626-9-3604-3951-7;78.37;8
Lerne lachen ohne zu weinen;Darius zu Preuk;1955;452-4-1050-5733-4;42.52;4
L'Odeur du sanglier;Rousseau Alice;1970;827-8-6510-3206-4;45.98;7
Unterm Rad;Yasmin Kupfer;1948;267-5-8735-1748-7;22.57;9
L'Odyssée invisible;Barbier Anaïs;1980;403-7-8095-3773-2;55.06;4
The Man Within;Lazaro Nienow;2006;564-4-3279-6624-6;84.04;3
Le Siècle de la rue voisine;Prof Yanis Blanchard;1974;325-9-3861-1188-9;36.58;0
Der Vulkan;Prof. Susanne Schröder;2003;420-3-1741-9366-9;58.10;3
La Peau des savants;Jade Durand;1953;178-5-9675-1571-3;22.74;3
Damals war es Friedrich;Tamina Zauber;1956;972-2-5412-3755-2;37.53;9
Le Siècle de la rue voisine;Aubert Paul;2010;496-1-7539-5646-6;09.97;0
Gone with the Wind;Oran Hermann;1967;976-6-7588-4235-8;07.08;2
L'Odyssée invisible;Noémie Aubert;2002;127-6-5086-6404-0;15.54;0
Ganz unten;Prof. Daniel Grube;2018;483-0-8665-0598-1;76.94;4
La Soumission comme passion;Dr Clément Michel;2005;939-5-3431-0900-5;86.79;5
Bekenntnisse des Hochstaplers Felix Krull;Malina Malucha;2009;313-4-9116-9571-3;45.54;3
Le Couloir de tous les mépris;M. Julie Dubois;1956;146-0-0903-2435-3;78.15;1
Now Sleeps the Crimson Petal;Dr. Magdalena Wilkinson;1997;684-0-4122-7142-2;35.70;3
Le Désir des femmes fortes;Mme Eva Lemaire;2000;589-5-9193-3240-7;41.65;3
Unterhaltungen deutscher Ausgewanderten;Miriam Hamann;1969;673-6-5937-1463-4;74.59;4
La Peau des savants;Arthur Paul;1986;473-3-5749-9452-6;90.12;1
Berlin Alexanderplatz;Silja vom Boxhammer;1994;875-7-5812-8416-8;05.09;4
L'Odyssée invisible;Dr Mael Meyer;1941;135-8-3937-2997-3;94.30;6
O Pioneers!;Wilton Cassin;1962;338-0-6730-9880-8;20.96;9
La Discipline des orphelins;Prof Louis Benoit;2007;356-6-1980-6377-3;23.32;6
Das Parfum;Helin Sailer;2003;406-4-6203-2331-5;09.02;9
Le Siècle de la rue voisine;Mlle Maëlys Gautier;2008;762-3-6404-5741-5;35.61;9
Der Verdacht;Freiherrin Jerome Gakstädter;2019;435-4-8746-3982-9;79.45;0
La Promise du voyeur;Carre Marie;1986;644-2-2379-9404-4;54.27;6
Gone with the Wind;Dr. Breanne Hudson;1942;149-4-7791-0544-7;15.80;8
La Discipline des orphelins;Lefevre Carla;1967;244-6-7959-8971-6;20.33;2
Über das Studium der griechischen Poesie;Lutz Pallentin;1964;380-3-5967-2127-9;39.40;7
La progéniture du mal;Bonnet Anaïs;1958;594-7-9920-4246-2;66.44;0
Frühlings Erwachen;Lennard Wagner;1962;147-2-6364-4008-0;38.98;1
Le Couloir de tous les mépris;Mercier Célia;2010;965-2-4576-6150-5;35.05;2
The Wings of the Dove;Bethel Upton;2017;950-7-6942-6841-0;88.82;4
La progéniture du mal;Nathan Rey;2007;606-9-0924-1217-5;25.39;2
Narziss und Goldmund;Mina Koehler;2010;991-0-4475-4810-8;85.24;3
La Discipline des orphelins;M. Gabriel Boyer;2012;079-1-0833-5721-5;93.07;5
Der Besuch der alten Dame;Luna Liebold;2011;740-5-8041-8837-9;26.44;1
Le Couloir de tous les mépris;M. Elisa Guillot;2008;243-2-8529-4781-8;65.56;3
The Yellow Meads of Asphodel;Dr. Tyson Ritchie;1966;360-1-1809-3346-3;18.24;4
Le Couloir de tous les mépris;M. Evan Marchal;1954;422-7-9044-9398-5;36.76;4
Der Vorleser;Freiherr Friederike Michallek;2001;075-8-8136-6570-8;02.24;6
La progéniture du mal;Rey Maxime;1948;723-1-0614-2382-0;76.86;9
Das Versprechen;Ylvi Wassiluk;1970;776-1-6272-5763-4;41.79;3
Le Siècle de la rue voisine;M. Enzo Renaud;2011;968-2-4110-8310-6;10.70;1
Ego Dominus Tuus;Mrs. Vada Sauer;1984;050-7-2648-6303-7;79.20;2
La Soumission comme passion;Thomas Jade;2004;616-0-5010-0303-3;14.56;3
Die verlorene Ehre der Katharina Blum;Graf Enes von der Chapron;2015;481-1-7366-7375-5;02.64;3
Pourquoi je mens ?;Lilou Gaillard;1954;472-4-4248-6452-0;23.40;8
Der Brief des Lord Chandos;Leoni König;2011;634-9-5380-6388-2;94.30;2
La progéniture du mal;Lucas Arnaud;1993;082-4-0284-5885-3;76.70;0
Fame Is the Spur;Santos Keeling;2015;555-0-0097-7610-0;58.31;9
Pourquoi je mens ?;Chevalier Quentin;2017;836-6-9923-0598-8;39.73;1
Ehen in Philippsburg;Gräfin Anni zu Axmann;1962;385-7-5220-6860-6;23.02;5
Le Désir des femmes fortes;M. Enzo Lemaire;2006;190-3-3013-6043-0;31.58;0
Der Zauberberg;Kimi vom Knoll;2001;488-6-2068-6189-7;71.86;2
Le Siècle de la rue voisine;Girard Arthur;1974;921-0-7180-9126-3;47.53;8
A Confederacy of Dunces;Enrique Hintz;2011;955-4-7257-1111-9;86.40;4
L'Odyssée invisible;Mlle Adam Fournier;1963;219-0-8559-4075-9;78.97;5
Die Leute von Seldwyla;Katharina Mrugalla;1987;341-9-5071-2292-0;65.26;8
Pourquoi je mens ?;M. Jules David;1986;673-1-4929-4954-0;45.78;6
Stolz und Vorurteil;Baronin Sena von Naumann;1990;647-1-6496-4406-7;39.38;6
La progéniture du mal;Berger Zoe;2009;914-1-4796-5730-1;78.29;2
Arms and the Man;Mr. Lucy Windler;2016;064-8-4784-7013-0;04.44;7
La Discipline des orphelins;Prof Alexandre Francois;1946;859-3-8103-0766-0;61.07;9
Mutter Courage und ihre Kinder;Prof. Dr. Dr. Vitus Seelig;1971;017-4-3622-9730-5;88.44;4
La Promise du voyeur;Perrin Baptiste;1964;418-0-1172-5444-7;11.77;3
Das Versprechen;Graf Viktoria Heberstreit;2005;936-9-4491-9036-9;99.10;7
La Peau des savants;Denis Rayan;1952;113-4-3925-0225-8;59.52;5
Mr Standfast;Florida Reynolds;2013;798-9-0642-2417-9;12.90;8
Le Désir des femmes fortes;Noa Gauthier;2007;132-8-6876-5211-0;68.09;4
Das Schiff Esperanza;Freiherrin Enie vom Krüger;1955;183-1-2244-5915-1;58.31;6
La Discipline des orphelins;Mlle Sacha Breton;1950;962-8-2202-2087-9;71.36;1
Jahrestage;Felicitas zu Retzke;1972;537-0-7877-0000-6;35.24;5
Le Couloir de tous les mépris;Jade Menard;1961;536-6-2666-5373-5;13.33;4
I Know Why the Caged Bird Sings;Ana Grady;1977;365-0-2836-2716-8;78.95;7
Le Couloir de tous les mépris;Colin Noémie;1962;026-9-6170-2586-2;44.14;2
Der Untertan;Talea Rosenauer;2002;354-5-1836-3418-9;36.31;4
Le Couloir de tous les mépris;Célia Lefevre;2002;709-3-7925-5149-0;55.36;9
Catharina von Georgien;Aurora Lewin;1943;828-1-9855-4396-3;92.22;1
L'Odeur du sanglier;Boyer Maxime;2019;338-8-2583-5225-2;27.27;7
I Will Fear No Evil;Eldon Rogahn III;2019;506-8-2685-2028-4;66.95;3
La Promise du voyeur;M. Sarah Breton;1972;082-5-1202-9965-5;58.55;7
Ende einer Dienstfahrt;Gian Schlechtweg;2011;850-2-4561-0624-0;18.21;8
L'Odeur du sanglier;Rolland Lucas;2005;365-2-9954-5254-3;06.34;5
Die Welt als Wille & Wahn;Jasmina Greb;2003;472-8-8833-8492-6;93.85;6
L'Odeur du sanglier;Dr Paul Rolland;1991;306-9-6379-4899-3;01.64;9
Surprised by Joy;Madge Rodriguez;1977;611-5-6182-9529-8;50.50;9
La progéniture du mal;Girard Baptiste;2013;484-5-8477-5766-1;50.42;9
Also sprach Zarathustra;Evelyn Zimanyi;1959;041-8-2790-0775-1;55.95;2
La Soumission comme passion;Dr Emilie Lefebvre;1955;517-5-1011-8843-1;03.24;8
Lieutenant Gustl;Freiherr Joscha vom Balkow;1952;796-2-5370-4186-1;73.93;1
Pourquoi je mens ?;Mme Zoe Rey;1974;399-5-0344-2627-4;48.85;3
Look to Windward;Emilie Schaefer DDS;1984;326-4-7243-1249-4;13.18;5
Le Désir des femmes fortes;Fontaine Lou;1951;984-2-4169-9669-0;16.24;7
Die zärtlichen Schwestern;Karoline von Seidel;2007;412-8-3202-9444-9;10.81;7
L'Odyssée invisible;Prof Pierre Rousseau;1968;934-8-5796-4722-2;18.78;6
Helden wie wir;Freiherr Bilal Möllinger;1999;912-9-6594-4177-6;31.65;5
La Peau des savants;Girard Charlotte;1977;051-8-9318-6769-5;04.30;2
Shall not Perish;Camylle Casper III;2004;935-2-5420-4591-2;51.08;3
La Peau des savants;Prevost Victor;2009;604-1-4423-0167-2;76.19;6
Faserland;Valeria Mrugalla;1963;342-0-6910-5342-6;67.00;5
La Promise du voyeur;Noel Maxime;2004;441-0-8668-4959-5;32.30;1
Wilhelm Tell;Tara zu Drechsler;1988;391-8-9251-7105-4;60.61;8
La progéniture du mal;Prof Théo Vasseur;1976;895-6-5733-0144-2;37.81;9
The Painted Veil;Candida Bogisich;2003;581-5-9702-4202-2;96.54;0
Le Siècle de la rue voisine;Fernandez Sarah;2014;187-6-2681-8098-5;64.30;1
Narziß und Goldmund;Thea Ganzmann;2014;999-4-6629-6420-5;15.42;3
L'Odyssée invisible;Enzo Baron;1951;831-0-1499-8190-6;81.24;2
Die Räuber;Fabienne Unger;1956;971-8-2706-7486-0;10.24;6
La Soumission comme passion;Mlle Ambre Adam;2016;116-6-2493-1066-4;18.18;9
The Grapes of Wrath;Nathanael Beer;1966;217-4-7495-9871-8;18.71;2
La Discipline des orphelins;Thomas Aubert;1941;002-0-9618-1840-1;66.40;1
Wilhelm Tell;Leroy Roloff;1962;872-1-0000-9774-1;06.86;4
La Soumission comme passion;Henry Julie;2019;747-9-4271-2885-0;83.75;2
Sterbender Cato;Marieke Büttner;1943;109-6-9734-9514-3;00.18;4
La Soumission comme passion;Camille Philippe;1966;003-8-9439-1701-2;39.79;6
For a Breath I Tarry;Rosamond Wunsch;1978;511-7-3521-6830-1;13.76;8
Le Couloir de tous les mépris;Fernandez Charlotte;1997;892-1-7898-8993-7;45.03;7
Gehirne;Freiherr Matti zu Simon;2001;113-8-3529-7904-7;37.30;5
Pourquoi je mens ?;Lefebvre Gabriel;1948;342-6-9264-9383-9;57.32;1
